Latitude (decimal degrees):	37.949
Longitude (decimal degrees):	-1.670
Elevation (m):	855
Radiation database:	PVGIS-CMSAF


Slope: - deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0055,0.0,0.0,0.0,9.2,1.14,0.0
20160101:0155,0.0,0.0,0.0,8.49,1.09,0.0
20160101:0255,0.0,0.0,0.0,7.77,1.04,0.0
20160101:0355,0.0,0.0,0.0,7.06,0.99,0.0
20160101:0455,0.0,0.0,0.0,6.68,1.07,0.0
20160101:0555,0.0,0.0,0.0,6.3,1.15,0.0
20160101:0655,0.0,0.0,0.0,5.92,1.23,0.0
20160101:0755,311.81,313.98,4.62,7.44,1.47,0.0
20160101:0855,688.03,709.13,13.77,8.97,1.71,0.0
20160101:0955,818.28,863.66,21.29,10.49,1.94,0.0
20160101:1055,870.33,933.21,26.54,11.65,1.92,0.0
20160101:1155,885.29,958.6,28.94,12.81,1.89,0.0
20160101:1255,872.51,949.28,28.13,13.98,1.86,0.0
20160101:1355,837.92,900.98,24.25,14.17,2.24,0.0
20160101:1455,34.46,50.3,17.79,14.36,2.63,0.0
20160101:1555,15.01,27.91,9.38,14.55,3.01,0.0
20160101:1655,0.0,0.0,0.0,12.89,2.69,0.0
20160101:1755,0.0,0.0,0.0,11.23,2.38,0.0
20160101:1855,0.0,0.0,0.0,9.56,2.07,0.0
20160101:1955,0.0,0.0,0.0,8.87,2.08,0.0
20160101:2055,0.0,0.0,0.0,8.18,2.1,0.0
20160101:2155,0.0,0.0,0.0,7.49,2.11,0.0
20160101:2255,0.0,0.0,0.0,7.35,2.28,0.0
20160101:2355,0.0,0.0,0.0,7.21,2.44,0.0
20160102:0055,0.0,0.0,0.0,7.07,2.61,0.0
20160102:0155,0.0,0.0,0.0,7.23,2.73,0.0
20160102:0255,0.0,0.0,0.0,7.38,2.85,0.0
20160102:0355,0.0,0.0,0.0,7.54,2.97,0.0
20160102:0455,0.0,0.0,0.0,7.84,2.9,0.0
20160102:0555,0.0,0.0,0.0,8.14,2.83,0.0
20160102:0655,0.0,0.0,0.0,8.44,2.76,0.0
20160102:0755,312.61,315.41,4.6,9.47,2.97,0.0
20160102:0855,581.86,589.92,13.78,10.5,3.19,0.0
20160102:0955,586.61,598.81,21.31,11.53,3.41,0.0
20160102:1055,436.44,446.14,26.6,12.28,3.95,0.0
20160102:1155,104.31,121.93,29.02,13.03,4.5,0.0
20160102:1255,889.2,929.74,28.24,13.79,5.05,0.0
20160102:1355,890.48,929.67,24.37,13.7,5.12,0.0
20160102:1455,35.59,51.33,17.91,13.61,5.2,0.0
20160102:1555,15.82,28.78,9.52,13.52,5.27,0.0
20160102:1655,0.0,0.0,0.0,11.7,4.38,0.0
20160102:1755,0.0,0.0,0.0,9.87,3.49,0.0
20160102:1855,0.0,0.0,0.0,8.04,2.59,0.0
20160102:1955,0.0,0.0,0.0,6.69,2.32,0.0
20160102:2055,0.0,0.0,0.0,5.33,2.05,0.0
20160102:2155,0.0,0.0,0.0,3.97,1.78,0.0
20160102:2255,0.0,0.0,0.0,3.45,1.9,0.0
20160102:2355,0.0,0.0,0.0,2.94,2.02,0.0
20160103:0055,0.0,0.0,0.0,2.42,2.14,0.0
20160103:0155,0.0,0.0,0.0,3.29,2.38,0.0
20160103:0255,0.0,0.0,0.0,4.16,2.62,0.0
20160103:0355,0.0,0.0,0.0,5.04,2.86,0.0
20160103:0455,0.0,0.0,0.0,5.22,2.79,0.0
20160103:0555,0.0,0.0,0.0,5.4,2.73,0.0
20160103:0655,0.0,0.0,0.0,5.58,2.66,0.0
20160103:0755,296.87,296.7,4.6,6.75,2.88,0.0
20160103:0855,11.44,22.83,13.79,7.92,3.09,0.0
20160103:0955,701.18,713.17,21.35,9.09,3.31,0.0
20160103:1055,755.36,774.32,26.66,10.04,3.67,0.0
20160103:1155,755.58,776.4,29.11,10.99,4.04,0.0
20160103:1255,439.44,447.89,28.35,11.94,4.4,0.0
20160103:1355,214.74,228.07,24.49,12.58,5.02,0.0
20160103:1455,65.25,82.51,18.05,13.23,5.63,0.0
20160103:1555,2.86,11.19,9.65,13.88,6.25,0.0
20160103:1655,0.0,0.0,0.0,12.76,5.76,0.0
20160103:1755,0.0,0.0,0.0,11.63,5.26,0.0
20160103:1855,0.0,0.0,0.0,10.5,4.77,0.0
20160103:1955,0.0,0.0,0.0,10.37,5.06,0.0
20160103:2055,0.0,0.0,0.0,10.24,5.34,0.0
20160103:2155,0.0,0.0,0.0,10.1,5.63,0.0
20160103:2255,0.0,0.0,0.0,10.47,5.87,0.0
20160103:2355,0.0,0.0,0.0,10.85,6.11,0.0
20160104:0055,0.0,0.0,0.0,11.22,6.34,0.0
20160104:0155,0.0,0.0,0.0,11.15,6.49,0.0
20160104:0255,0.0,0.0,0.0,11.08,6.63,0.0
20160104:0355,0.0,0.0,0.0,11.02,6.77,0.0
20160104:0455,0.0,0.0,0.0,11.01,6.73,0.0
20160104:0555,0.0,0.0,0.0,11.0,6.68,0.0
20160104:0655,0.0,0.0,0.0,10.99,6.63,0.0
20160104:0755,0.0,1.48,4.6,11.69,6.65,0.0
20160104:0855,0.0,5.38,13.81,12.4,6.66,0.0
20160104:0955,30.88,46.01,21.39,13.1,6.68,0.0
20160104:1055,166.39,182.4,26.72,13.76,7.54,0.0
20160104:1155,64.08,81.54,29.2,14.42,8.4,0.0
20160104:1255,66.84,84.59,28.46,15.08,9.26,0.0
20160104:1355,65.55,83.24,24.62,14.99,9.14,0.0
20160104:1455,68.47,86.29,18.19,14.91,9.03,0.0
20160104:1555,20.91,34.99,9.79,14.82,8.91,0.0
20160104:1655,0.0,0.0,0.0,13.63,8.76,0.0
20160104:1755,0.0,0.0,0.0,12.43,8.61,0.0
20160104:1855,0.0,0.0,0.0,11.23,8.46,0.0
20160104:1955,0.0,0.0,0.0,10.78,8.29,0.0
20160104:2055,0.0,0.0,0.0,10.33,8.13,0.0
20160104:2155,0.0,0.0,0.0,9.87,7.97,0.0
20160104:2255,0.0,0.0,0.0,10.04,7.66,0.0
20160104:2355,0.0,0.0,0.0,10.2,7.34,0.0
20160105:0055,0.0,0.0,0.0,10.37,7.02,0.0
20160105:0155,0.0,0.0,0.0,10.29,5.95,0.0
20160105:0255,0.0,0.0,0.0,10.21,4.88,0.0
20160105:0355,0.0,0.0,0.0,10.14,3.81,0.0
20160105:0455,0.0,0.0,0.0,10.13,3.31,0.0
20160105:0555,0.0,0.0,0.0,10.12,2.81,0.0
20160105:0655,0.0,0.0,0.0,10.11,2.32,0.0
20160105:0755,0.0,1.51,4.6,10.2,2.74,0.0
20160105:0855,52.77,68.49,13.83,10.29,3.17,0.0
20160105:0955,331.47,338.44,21.44,10.38,3.6,0.0
20160105:1055,919.53,952.33,26.8,10.21,4.46,0.0
20160105:1155,973.11,1004.6,29.3,10.04,5.33,0.0
